[22:36:45] ================================================================================
[22:36:45] 流星偵測系統 - 增強版
[22:36:45] ================================================================================
[22:36:45] 影片: me.mp4
[22:36:45] 總幀數: 3065, FPS: 30.00
[22:36:45] 參數: 移動檢查=10幀, 最小移動=5px
[22:36:46] ✓ 流星 #1: 幀 71-76 (時間 2.4s-2.5s), 長度 23.7px, 速度 4.7px/frame, 點數 3
[22:36:46] ✓ 流星 #2: 幀 74-76 (時間 2.5s-2.5s), 長度 10.0px, 速度 5.0px/frame, 點數 2
[22:36:46] ✓ 流星 #3: 幀 74-79 (時間 2.5s-2.6s), 長度 34.2px, 速度 6.8px/frame, 點數 3
[22:36:46] ✓ 流星 #4: 幀 83-86 (時間 2.8s-2.9s), 長度 8.6px, 速度 2.9px/frame, 點數 2
[22:36:46] ✓ 流星 #5: 幀 79-88 (時間 2.6s-2.9s), 長度 306.3px, 速度 34.0px/frame, 點數 5
[22:36:46] ✓ 流星 #6: 幀 88-93 (時間 2.9s-3.1s), 長度 41.2px, 速度 8.2px/frame, 點數 3
[22:36:46] ✓ 流星 #7: 幀 93-93 (時間 3.1s-3.1s), 長度 46.4px, 速度 46.4px/frame, 點數 2
[22:36:46] 處理進度: 100/3065, 活躍軌跡: 5, 已偵測流星: 7
[22:36:46] ✓ 流星 #8: 幀 91-95 (時間 3.0s-3.2s), 長度 104.5px, 速度 26.1px/frame, 點數 4
[22:36:46] ✓ 流星 #9: 幀 93-95 (時間 3.1s-3.2s), 長度 16.3px, 速度 8.1px/frame, 點數 2
[22:36:46] 處理進度: 200/3065, 活躍軌跡: 0, 已偵測流星: 9
[22:36:47] 處理進度: 300/3065, 活躍軌跡: 0, 已偵測流星: 9
[22:36:47] ✓ 流星 #10: 幀 301-301 (時間 10.0s-10.0s), 長度 33.2px, 速度 33.2px/frame, 點數 2
[22:36:47] ✓ 流星 #11: 幀 301-301 (時間 10.0s-10.0s), 長度 24.4px, 速度 24.4px/frame, 點數 2
[22:36:47] ✓ 流星 #12: 幀 301-301 (時間 10.0s-10.0s), 長度 25.3px, 速度 25.3px/frame, 點數 2
[22:36:47] ✓ 流星 #13: 幀 301-302 (時間 10.0s-10.1s), 長度 9.5px, 速度 9.5px/frame, 點數 3
[22:36:47] ✓ 流星 #14: 幀 340-340 (時間 11.3s-11.3s), 長度 38.2px, 速度 38.2px/frame, 點數 2
[22:36:47] ✓ 流星 #15: 幀 343-344 (時間 11.4s-11.5s), 長度 11.5px, 速度 11.5px/frame, 點數 3
[22:36:47] ✓ 流星 #16: 幀 345-345 (時間 11.5s-11.5s), 長度 42.0px, 速度 42.0px/frame, 點數 2
[22:36:47] ✓ 流星 #17: 幀 338-346 (時間 11.3s-11.5s), 長度 81.6px, 速度 10.2px/frame, 點數 6
[22:36:47] ✓ 流星 #18: 幀 345-346 (時間 11.5s-11.5s), 長度 19.7px, 速度 19.7px/frame, 點數 3
[22:36:47] ✓ 流星 #19: 幀 343-347 (時間 11.4s-11.6s), 長度 77.5px, 速度 19.4px/frame, 點數 5
[22:36:47] ✓ 流星 #20: 幀 346-350 (時間 11.5s-11.7s), 長度 11.3px, 速度 2.8px/frame, 點數 4
[22:36:47] ✓ 流星 #21: 幀 347-350 (時間 11.6s-11.7s), 長度 12.5px, 速度 4.2px/frame, 點數 3
[22:36:47] ✓ 流星 #22: 幀 351-351 (時間 11.7s-11.7s), 長度 19.7px, 速度 19.7px/frame, 點數 2
[22:36:47] ✓ 流星 #23: 幀 349-352 (時間 11.6s-11.7s), 長度 18.1px, 速度 6.0px/frame, 點數 4
[22:36:47] ✓ 流星 #24: 幀 349-352 (時間 11.6s-11.7s), 長度 6.1px, 速度 2.0px/frame, 點數 2
[22:36:47] ✓ 流星 #25: 幀 350-352 (時間 11.7s-11.7s), 長度 17.6px, 速度 8.8px/frame, 點數 3
[22:36:47] ✓ 流星 #26: 幀 353-355 (時間 11.8s-11.8s), 長度 26.1px, 速度 13.1px/frame, 點數 3
[22:36:47] ✓ 流星 #27: 幀 355-357 (時間 11.8s-11.9s), 長度 27.2px, 速度 13.6px/frame, 點數 2
[22:36:47] ✓ 流星 #28: 幀 352-361 (時間 11.7s-12.0s), 長度 101.1px, 速度 11.2px/frame, 點數 9
[22:36:47] ✓ 流星 #29: 幀 358-361 (時間 11.9s-12.0s), 長度 17.3px, 速度 5.8px/frame, 點數 3
[22:36:47] ✓ 流星 #30: 幀 386-386 (時間 12.9s-12.9s), 長度 6.1px, 速度 6.1px/frame, 點數 2
[22:36:47] 處理進度: 400/3065, 活躍軌跡: 5, 已偵測流星: 30
[22:36:48] ✓ 流星 #31: 幀 423-428 (時間 14.1s-14.3s), 長度 7.0px, 速度 1.4px/frame, 點數 3
[22:36:48] ✓ 流星 #32: 幀 428-433 (時間 14.3s-14.4s), 長度 5.1px, 速度 1.0px/frame, 點數 2
[22:36:48] ✓ 流星 #33: 幀 433-437 (時間 14.4s-14.6s), 長度 6.0px, 速度 1.5px/frame, 點數 2
[22:36:48] ✓ 流星 #34: 幀 437-442 (時間 14.6s-14.7s), 長度 6.0px, 速度 1.2px/frame, 點數 2
[22:36:48] ✓ 流星 #35: 幀 451-451 (時間 15.0s-15.0s), 長度 5.1px, 速度 5.1px/frame, 點數 2
