檔名,偵測到,數量,耗時
M20220102_055500_Lulin_NB[P].jpg,Yes,2,0.017
M20220805_022943_Lulin_NB[P].jpg,No,0,0.016
M20220805_023815_Lulin_NB[P].jpg,Yes,1,0.016
M20220805_031203_Lulin_NB[P].jpg,Yes,1,0.015
M20220805_032410_Lulin_NB[P].jpg,Yes,1,0.018
M20220805_040430_Lulin_NB[P].jpg,Yes,1,0.016
M20220805_041006_Lulin_NB[P].jpg,Yes,1,0.005
M20220805_041343_Lulin_NB[P].jpg,Yes,2,0.016
M20220805_044211_Lulin_NB[P].jpg,Yes,1,0.017
M20220806_002337_Lulin_NB[P].jpg,No,0,0.016
M20220806_010732_Lulin_NB[P].jpg,No,0,0.018
M20220806_023446_Lulin_NB[P].jpg,Yes,1,0.019
M20220806_023956_Lulin_NB[P].jpg,Yes,1,0.026
M20220806_032658_Lulin_NB[P].jpg,Yes,1,0.010
M20220806_034750_Lulin_NB[P].jpg,Yes,2,0.018
M20220806_034926_Lulin_NB[P].jpg,Yes,1,0.010
M20220806_035432_Lulin_NB[P].jpg,No,0,0.016
M20220806_040516_Lulin_NB[P].jpg,No,0,0.014
M20220806_041309_Lulin_NB[P].jpg,Yes,1,0.016
M20220806_043934_Lulin_NB[P].jpg,Yes,3,0.002
M20220806_195247_Lulin_NB[P].jpg,Yes,1,0.019
M20220806_235644_Lulin_NB[P].jpg,Yes,1,0.018
M20220807_005958_Lulin_NB[P].jpg,Yes,1,0.016
M20220807_020035_Lulin_NB[P].jpg,Yes,1,0.014
M20220807_033105_Lulin_NB[P].jpg,No,0,0.021
M20220807_043206_Lulin_NB[P].jpg,No,0,0.016
M20220807_043239_Lulin_NB[P].jpg,Yes,1,0.016
M20220807_043521_Lulin_NB[P].jpg,Yes,1,0.008
M20220807_044701_Lulin_NB[P].jpg,Yes,1,0.007
M20220807_223955_Lulin_NB[P].jpg,Yes,1,0.010
M20220807_230001_Lulin_NB[P].jpg,No,0,0.016
M20220807_232150_Lulin_NB[P].jpg,Yes,1,0.016
M20220808_014009_Lulin_NB[P].jpg,No,0,0.018
M20220808_020314_Lulin_NB[P].jpg,No,0,0.016
M20220808_034015_Lulin_NB[P].jpg,Yes,2,0.014
M20220808_034453_Lulin_NB[P].jpg,Yes,1,0.019
M20220808_035914_Lulin_NB[P].jpg,Yes,2,0.004
M20220808_040017_Lulin_NB[P].jpg,Yes,1,0.016
M20220808_040703_Lulin_NB[P].jpg,Yes,1,0.007
M20220808_041257_Lulin_NB[P].jpg,Yes,2,0.016
M20220808_042114_Lulin_NB[P].jpg,Yes,1,0.016
M20220808_042631_Lulin_NB[P].jpg,Yes,1,0.012
M20220808_042706_Lulin_NB[P].jpg,Yes,1,0.022
M20220808_043359_Lulin_NB[P].jpg,No,0,0.021
M20220808_043720_Lulin_NB[P].jpg,Yes,2,0.011
M20220808_044153_Lulin_NB[P].jpg,Yes,1,0.017
M20220808_235029_Lulin_NB[P].jpg,Yes,1,0.027
M20220808_235524_Lulin_NB[P].jpg,Yes,1,0.011
M20220809_011440_Lulin_NB[P].jpg,Yes,1,0.016
M20220809_021835_Lulin_NB[P].jpg,Yes,1,0.014
M20220809_022129_Lulin_NB[P].jpg,Yes,1,0.018
M20220809_035733_Lulin_NB[P].jpg,Yes,1,0.012
M20220809_035945_Lulin_NB[P].jpg,Yes,1,0.014
M20220809_040016_Lulin_NB[P].jpg,Yes,1,0.032
M20220809_041157_Lulin_NB[P].jpg,Yes,1,0.021
M20220809_041315_Lulin_NB[P].jpg,No,0,0.019
